Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Donovan Solano,0.5693333333333334,0.7865413,2B,3250000,San Francisco Giants,0.24201270769230768
Eddie Rosario,0.7803333333333334,0.8209983000000001,LF,8000000,Cleveland Indians,0.10262478750000001
Eduardo Escobar,0.6633333333333333,0.7804116,3B,7666668,Arizona Diamondbacks,0.10179279968820876
Edwin Rios,0.5690000000000001,0.7708241,3B,590500,Los Angeles Dodgers,1.3053752751905165
Eloy Jimenez,0.7849999999999999,0.81950974,DH,4333333,Chicago White Sox,0.1891176468552036
Elvis Andrus,0.606,0.78437597,SS,8800000,Oakland Athletics,0.08913363295454546
Emmanuel Rivera,0.653,0.7924625,3B,570500,Kansas City Royals,1.3890666082383871
Ender Inciarte,0.684,0.8062491,LF,8700000,Atlanta Braves,0.09267231034482759
Enrique Hernandez,0.6729999999999999,0.7991246999999999,2B,6000000,Boston Red Sox,0.13318744999999999
Erik Gonzalez,0.6429999999999999,0.7962236,SS,1225000,Pittsburgh Pirates,0.6499784489795919
Eugenio Suarez,0.7186666666666666,0.8062836999999999,3B,10785714,Cincinnati Reds,0.07475478211270946
Evan Longoria,0.7133333333333334,0.803905,3B,18500000,San Francisco Giants,0.04345432432432432
Evan White,1.1159999999999999,0.8337535,1B,1300000,Seattle Mariners,0.6413488461538462
Franchy Cordero,0.7806666666666667,0.81554943,LF,800000,Boston Red Sox,1.0194367875
Francisco Lindor,0.6293333333333334,0.77888626,SS,22300000,New York Mets,0.034927634977578476
Franklin Barreto,0.7595000000000001,0.8179586,SS,600500,Los Angeles Angels,1.3621292256452957
Freddie Freeman,0.49200000000000005,0.7659497,1B,22409375,Atlanta Braves,0.03417987784130525
Freddy Galvis,0.7262500000000001,0.80875945,SS,1500000,Baltimore Orioles,0.5391729666666667
Garrett Cooper,0.5873333333333334,0.78147274,RF,1900000,Miami Marlins,0.41130144210526315
Gary Sanchez,0.731,0.81459665,C,6350000,New York Yankees,0.12828293700787402
Gavin Lux,0.9623333333333334,0.8441771999999998,SS,580500,Los Angeles Dodgers,1.4542242894056845
Giancarlo Stanton,0.617,0.7767121,DH,29000000,New York Yankees,0.026783175862068964
Gleyber Torres,0.8273333333333334,0.8264681999999999,SS,4000000,New York Yankees,0.20661704999999997
Gregory Polanco,0.6349999999999999,0.7831876,RF,11600000,Pittsburgh Pirates,0.0675161724137931
Guillermo Heredia,0.78325,0.8207144000000001,CF,1000000,Atlanta Braves,0.8207144000000001
Harrison Bader,0.6863333333333332,0.80084,CF,2000000,St. Louis Cardinals,0.40042
Hunter Dozier,0.677,0.79924875,3B,2500000,Kansas City Royals,0.31969949999999997
Hunter Renfroe,0.5726666666666667,0.7856169,RF,3100000,Boston Red Sox,0.2534248064516129
Ian Happ,0.6203333333333333,0.7937225,CF,4100000,Chicago Cubs,0.1935908536585366
Isaac Paredes,0.6775,0.80348974,3B,570500,Detroit Tigers,1.4083956879929884
Isiah Kiner-Falefa,0.5416666666666667,0.78362364,SS,2000000,Texas Rangers,0.39181182
J.D. Davis,0.67,0.8006395000000001,3B,2100000,New York Mets,0.38125690476190477
J.D. Martinez,0.7846666666666667,0.8112627,DH,19350000,Boston Red Sox,0.04192572093023256
J.P. Crawford,0.6486666666666666,0.7902071999999999,SS,2050000,Seattle Mariners,0.3854669268292682
J.T. Realmuto,0.5780000000000001,0.7810405,C,20000000,Philadelphia Phillies,0.039052025000000004
Jacob Stallings,0.7713333333333333,0.8128984,C,1300000,Pittsburgh Pirates,0.6253064615384616
Jake Cave,0.8596666666666667,0.83265394,LF,597500,Minnesota Twins,1.3935630794979081
Jake Fraley,0.48200000000000004,0.7641901999999999,OF,572100,Seattle Mariners,1.3357633280894947
Jake Lamb,0.5489999999999999,0.7736776,1B,1000000,Chicago White Sox,0.7736776
Jake Marisnick,0.6233333333333334,0.7871014000000001,CF,1000000,Chicago Cubs,0.7871014000000001
Jake Rogers,0.841,0.82982385,C,570500,Detroit Tigers,1.4545553900087642
James McCann,0.7063333333333333,0.8009696,C,8150000,New York Mets,0.09827847852760736
Jarrod Dyson,0.6759999999999999,0.8034127,CF,1500000,Kansas City Royals,0.5356084666666666
Jason Castro,0.47200000000000003,0.76895326,C,3500000,Houston Astros,0.21970093142857142
Javier Baez,0.6613333333333333,0.793166,SS,11650000,Chicago Cubs,0.06808291845493562
Jaylin Davis,0.7773333333333333,0.8225508,RF,570500,San Francisco Giants,1.4418068361086767
Jazz Chisholm,0.71,0.80704737,2B,571750,Miami Marlins,1.4115389068648887
Jed Lowrie,0.8009999999999999,0.8260575000000001,2B,1500000,Oakland Athletics,0.5507050000000001
