Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Dominic Smith,0.7453333333333333,0.8032507,LF,2550000,New York Mets,0.31500027450980395
Donovan Solano,0.5693333333333334,0.7769191,2B,3250000,San Francisco Giants,0.23905203076923076
Eddie Rosario,0.7803333333333334,0.802867,LF,8000000,Cleveland Indians,0.100358375
Eduardo Escobar,0.6633333333333333,0.7769191,3B,7666668,Arizona Diamondbacks,0.10133725628917281
Edwin Rios,0.5690000000000001,0.7769191,3B,590500,Los Angeles Dodgers,1.3156970364098222
Eloy Jimenez,0.7849999999999999,0.824458,DH,4333333,Chicago White Sox,0.19025955309688872
Elvis Andrus,0.606,0.78061515,SS,8800000,Oakland Athletics,0.08870626704545455
Emmanuel Rivera,0.653,0.7982093000000001,3B,570500,Kansas City Royals,1.3991398773006136
Ender Inciarte,0.684,0.8198365,LF,8700000,Atlanta Braves,0.09423408045977011
Enrique Hernandez,0.6729999999999999,0.8018941999999999,2B,6000000,Boston Red Sox,0.13364903333333333
Erik Gonzalez,0.6429999999999999,0.7894251,SS,1225000,Pittsburgh Pirates,0.6444286530612244
Eugenio Suarez,0.7186666666666666,0.7820467,3B,10785714,Cincinnati Reds,0.07250764298033492
Evan Longoria,0.7133333333333334,0.81166136,3B,18500000,San Francisco Giants,0.043873587027027025
Evan White,1.1159999999999999,0.82808936,1B,1300000,Seattle Mariners,0.6369918153846154
Franchy Cordero,0.7806666666666667,0.8032151999999999,LF,800000,Boston Red Sox,1.004019
Francisco Lindor,0.6293333333333334,0.7769191,SS,22300000,New York Mets,0.034839421524663676
Franklin Barreto,0.7595000000000001,0.81409574,SS,600500,Los Angeles Angels,1.3556964862614487
Freddie Freeman,0.49200000000000005,0.7847837,1B,22409375,Atlanta Braves,0.03502032966113512
Freddy Galvis,0.7262500000000001,0.7769191,SS,1500000,Baltimore Orioles,0.5179460666666666
Garrett Cooper,0.5873333333333334,0.7875523,RF,1900000,Miami Marlins,0.4145012105263158
Gary Sanchez,0.731,0.7912656,C,6350000,New York Yankees,0.12460875590551182
Gavin Lux,0.9623333333333334,0.8188584,SS,580500,Los Angeles Dodgers,1.4106087855297156
Giancarlo Stanton,0.617,0.8047791,DH,29000000,New York Yankees,0.02775100344827586
Gleyber Torres,0.8273333333333334,0.81460583,SS,4000000,New York Yankees,0.2036514575
Gregory Polanco,0.6349999999999999,0.7769191,RF,11600000,Pittsburgh Pirates,0.06697578448275862
Guillermo Heredia,0.78325,0.815467,CF,1000000,Atlanta Braves,0.815467
Harrison Bader,0.6863333333333332,0.7964462,CF,2000000,St. Louis Cardinals,0.3982231
Hunter Dozier,0.677,0.8026074000000001,3B,2500000,Kansas City Royals,0.32104296
Hunter Renfroe,0.5726666666666667,0.7959595,RF,3100000,Boston Red Sox,0.25676112903225806
Ian Happ,0.6203333333333333,0.7769191,CF,4100000,Chicago Cubs,0.18949246341463413
Isaac Paredes,0.6775,0.82079685,3B,570500,Detroit Tigers,1.4387324276950044
Isiah Kiner-Falefa,0.5416666666666667,0.79655796,SS,2000000,Texas Rangers,0.39827898
J.D. Davis,0.67,0.78046924,3B,2100000,New York Mets,0.371652019047619
J.D. Martinez,0.7846666666666667,0.8264016,DH,19350000,Boston Red Sox,0.042708093023255816
J.P. Crawford,0.6486666666666666,0.79657745,SS,2050000,Seattle Mariners,0.38857436585365857
J.T. Realmuto,0.5780000000000001,0.7909009,C,20000000,Philadelphia Phillies,0.039545045
Jacob Stallings,0.7713333333333333,0.81964827,C,1300000,Pittsburgh Pirates,0.6304986692307692
Jake Cave,0.8596666666666667,0.8385415999999999,LF,597500,Minnesota Twins,1.4034169037656903
Jake Fraley,0.48200000000000004,0.7769191,OF,572100,Seattle Mariners,1.3580127600069918
Jake Lamb,0.5489999999999999,0.8022127,1B,1000000,Chicago White Sox,0.8022127
Jake Marisnick,0.6233333333333334,0.7769191,CF,1000000,Chicago Cubs,0.7769191
Jake Rogers,0.841,0.84401286,C,570500,Detroit Tigers,1.4794265731814198
James McCann,0.7063333333333333,0.79397154,C,8150000,New York Mets,0.09741982085889571
Jarrod Dyson,0.6759999999999999,0.8053627,CF,1500000,Kansas City Royals,0.5369084666666667
Jason Castro,0.47200000000000003,0.78112185,C,3500000,Houston Astros,0.22317767142857142
Javier Baez,0.6613333333333333,0.79212916,SS,11650000,Chicago Cubs,0.06799391931330472
Jaylin Davis,0.7773333333333333,0.80903494,RF,570500,San Francisco Giants,1.418115582822086
Jazz Chisholm,0.71,0.78293777,2B,571750,Miami Marlins,1.369370826410144
Jed Lowrie,0.8009999999999999,0.80093473,2B,1500000,Oakland Athletics,0.5339564866666667
Jeimer Candelario,0.5536666666666666,0.7920718000000001,1B,2850000,Detroit Tigers,0.27791992982456143
Jesse Winker,0.6853333333333333,0.80175674,LF,3150000,Cincinnati Reds,0.2545259492063492
